Dialogue_Act,Utterance
FEEDBACK_POSITIVE,gut alles klar
FEEDBACK_POSITIVE,ja natürlich
INFORM,ich denke mal daß uns das gerade nach so einem harten Arbeitstag gut tun wird
INFORM,vielleicht ein bißchen Entspannung am Abend
FEEDBACK_POSITIVE,gut alles klar
BYE,ja dann <äh> sehen wir uns dann <äh> spätestens am Donnerstag den neunten Juli
INFORM,ich denke mal daß uns das gerade nach so einem harten Arbeitstag gut tun wird
INFORM,vielleicht ein bißchen Entspannung am Abend
FEEDBACK_POSITIVE,gut alles klar
BYE,ja dann <äh> sehen wir uns dann <äh> spätestens am Donnerstag den neunten Juli
THANK,ich bedanke mich Herr Much
INFORM,vielleicht ein bißchen Entspannung am Abend
FEEDBACK_POSITIVE,gut alles klar
BYE,ja dann <äh> sehen wir uns dann <äh> spätestens am Donnerstag den neunten Juli
THANK,ich bedanke mich Herr Much
THANK,ich bedanke mich Herr Bertele
EXPLAINED_REJECT,<ähm> Juni habe jetzt ich mal Urlaub geplant
REJECT,das ist bißchen ungünstig
SUGGEST,<ähm> wie sieht es denn Ende Juli aus
SUGGEST,vielleicht die Woche einundzwanzigster bis fünfundzwanzigster
ACCEPT,ja also ab Dienstag <äh> wäre das gut möglich
REJECT,das ist bißchen ungünstig
SUGGEST,<ähm> wie sieht es denn Ende Juli aus
SUGGEST,vielleicht die Woche einundzwanzigster bis fünfundzwanzigster
ACCEPT,ja also ab Dienstag <äh> wäre das gut möglich
REQUEST_CLARIFY,ab Dienstag wäre es bei Ihnen gut möglich
SUGGEST,<ähm> wie sieht es denn Ende Juli aus
SUGGEST,vielleicht die Woche einundzwanzigster bis fünfundzwanzigster
ACCEPT,ja also ab Dienstag <äh> wäre das gut möglich
REQUEST_CLARIFY,ab Dienstag wäre es bei Ihnen gut möglich
SUGGEST,ja dann würde ich vorschlagen vereinbaren wir doch den zweiundzwanzigsten dreiundzwanzigsten
SUGGEST,vielleicht die Woche einundzwanzigster bis fünfundzwanzigster
ACCEPT,ja also ab Dienstag <äh> wäre das gut möglich
REQUEST_CLARIFY,ab Dienstag wäre es bei Ihnen gut möglich
SUGGEST,ja dann würde ich vorschlagen vereinbaren wir doch den zweiundzwanzigsten dreiundzwanzigsten
ACCEPT,genau
ACCEPT,ja also ab Dienstag <äh> wäre das gut möglich
REQUEST_CLARIFY,ab Dienstag wäre es bei Ihnen gut möglich
SUGGEST,ja dann würde ich vorschlagen vereinbaren wir doch den zweiundzwanzigsten dreiundzwanzigsten
ACCEPT,genau
ACCEPT,das ist fein
REQUEST_CLARIFY,ab Dienstag wäre es bei Ihnen gut möglich
SUGGEST,ja dann würde ich vorschlagen vereinbaren wir doch den zweiundzwanzigsten dreiundzwanzigsten
ACCEPT,genau
ACCEPT,das ist fein
SUGGEST,da können wir können wir <äh> können wir die zwei Tage mal raussuchen
SUGGEST,ja dann würde ich vorschlagen vereinbaren wir doch den zweiundzwanzigsten dreiundzwanzigsten
ACCEPT,genau
ACCEPT,das ist fein
SUGGEST,da können wir können wir <äh> können wir die zwei Tage mal raussuchen
INIT,<äh> wie wollen wir denn hochfahren
ACCEPT,genau
ACCEPT,das ist fein
SUGGEST,da können wir können wir <äh> können wir die zwei Tage mal raussuchen
INIT,<äh> wie wollen wir denn hochfahren
INFORM,tja es ist folgendermaßen ich muß am Donnerstag den vierundzwanzigsten weiter nach Bonn
ACCEPT,das ist fein
SUGGEST,da können wir können wir <äh> können wir die zwei Tage mal raussuchen
INIT,<äh> wie wollen wir denn hochfahren
INFORM,tja es ist folgendermaßen ich muß am Donnerstag den vierundzwanzigsten weiter nach Bonn
DELIBERATE,"<häs> ja ich bin grade am Uberlegen"""
SUGGEST,da können wir können wir <äh> können wir die zwei Tage mal raussuchen
INIT,<äh> wie wollen wir denn hochfahren
INFORM,tja es ist folgendermaßen ich muß am Donnerstag den vierundzwanzigsten weiter nach Bonn
DELIBERATE,"<häs> ja ich bin grade am Uberlegen"""
SUGGEST,ja ich denke aber mit Zug wäre ganz vernünftig
INIT,<äh> wie wollen wir denn hochfahren
INFORM,tja es ist folgendermaßen ich muß am Donnerstag den vierundzwanzigsten weiter nach Bonn
DELIBERATE,"<häs> ja ich bin grade am Uberlegen"""
SUGGEST,ja ich denke aber mit Zug wäre ganz vernünftig
ACCEPT,ja mit dem Zug wäre mir auch recht
INFORM,tja es ist folgendermaßen ich muß am Donnerstag den vierundzwanzigsten weiter nach Bonn
DELIBERATE,"<häs> ja ich bin grade am Uberlegen"""
SUGGEST,ja ich denke aber mit Zug wäre ganz vernünftig
ACCEPT,ja mit dem Zug wäre mir auch recht
GIVE_REASON,da ist man recht schnell dort
DELIBERATE,"<häs> ja ich bin grade am Uberlegen"""
SUGGEST,ja ich denke aber mit Zug wäre ganz vernünftig
ACCEPT,ja mit dem Zug wäre mir auch recht
GIVE_REASON,da ist man recht schnell dort
DELIBERATE,also ich meine <%> warten Sie <%> mal grade auf dem Bahnserver nachschauen
SUGGEST,ja ich denke aber mit Zug wäre ganz vernünftig
ACCEPT,ja mit dem Zug wäre mir auch recht
GIVE_REASON,da ist man recht schnell dort
DELIBERATE,also ich meine <%> warten Sie <%> mal grade auf dem Bahnserver nachschauen
NOT_CLASSIFIABLE,ja Zug ist um alle Stunde
ACCEPT,ja mit dem Zug wäre mir auch recht
GIVE_REASON,da ist man recht schnell dort
DELIBERATE,also ich meine <%> warten Sie <%> mal grade auf dem Bahnserver nachschauen
NOT_CLASSIFIABLE,ja Zug ist um alle Stunde
INFORM,ja drei Minuten nach der vollen Stunde fährt immer ein Zug
INFORM,von München Hauptbahnhof bis Ankunft Hannover sind viereinhalb Stunden
INFORM,dann ist es kurz vor eins bis wir dann im Hotel eintreffen vielleicht
INIT,haben Sie da vielleicht irgendwelche Vorschläge fürs Hotel
SUGGEST,ja gut also in in Hannover könnten wir prinzipiell ins Marriott gehen
ACCEPT,ah ja ja
INFORM,dann ist es kurz vor eins bis wir dann im Hotel eintreffen vielleicht
INIT,haben Sie da vielleicht irgendwelche Vorschläge fürs Hotel
SUGGEST,ja gut also in in Hannover könnten wir prinzipiell ins Marriott gehen
ACCEPT,ah ja ja
ACCEPT,die haben einen guten Service
INIT,haben Sie da vielleicht irgendwelche Vorschläge fürs Hotel
SUGGEST,ja gut also in in Hannover könnten wir prinzipiell ins Marriott gehen
ACCEPT,ah ja ja
ACCEPT,die haben einen guten Service
FEEDBACK_POSITIVE,die sind ganz gut
SUGGEST,ja gut also in in Hannover könnten wir prinzipiell ins Marriott gehen
ACCEPT,ah ja ja
ACCEPT,die haben einen guten Service
FEEDBACK_POSITIVE,die sind ganz gut
SUGGEST,Parkhotel Hotel Cristal da gibt es Sauna und Solarium
ACCEPT,ah ja ja
ACCEPT,die haben einen guten Service
FEEDBACK_POSITIVE,die sind ganz gut
SUGGEST,Parkhotel Hotel Cristal da gibt es Sauna und Solarium
SUGGEST,<äh> nehmen wir doch dieses Marriott
ACCEPT,die haben einen guten Service
FEEDBACK_POSITIVE,die sind ganz gut
SUGGEST,Parkhotel Hotel Cristal da gibt es Sauna und Solarium
SUGGEST,<äh> nehmen wir doch dieses Marriott
GIVE_REASON,die glaube ich haben einen sehr freundlichen Service werben auch immer in der Zeitung damit
FEEDBACK_POSITIVE,die sind ganz gut
SUGGEST,Parkhotel Hotel Cristal da gibt es Sauna und Solarium
SUGGEST,<äh> nehmen wir doch dieses Marriott
GIVE_REASON,die glaube ich haben einen sehr freundlichen Service werben auch immer in der Zeitung damit
GIVE_REASON,sind glaube ich ganz gut
SUGGEST,Parkhotel Hotel Cristal da gibt es Sauna und Solarium
SUGGEST,<äh> nehmen wir doch dieses Marriott
GIVE_REASON,die glaube ich haben einen sehr freundlichen Service werben auch immer in der Zeitung damit
GIVE_REASON,sind glaube ich ganz gut
INFORM,ja gibt auch Hallenbad
SUGGEST,<äh> nehmen wir doch dieses Marriott
GIVE_REASON,die glaube ich haben einen sehr freundlichen Service werben auch immer in der Zeitung damit
GIVE_REASON,sind glaube ich ganz gut
INFORM,ja gibt auch Hallenbad
INFORM,ist zentral
GIVE_REASON,die glaube ich haben einen sehr freundlichen Service werben auch immer in der Zeitung damit
GIVE_REASON,sind glaube ich ganz gut
INFORM,ja gibt auch Hallenbad
INFORM,ist zentral
INFORM,gibt einen Fitneßraum zum Austoben
GIVE_REASON,sind glaube ich ganz gut
INFORM,ja gibt auch Hallenbad
INFORM,ist zentral
INFORM,gibt einen Fitneßraum zum Austoben
ACCEPT,ja wunderbar
INFORM,ja gibt auch Hallenbad
INFORM,ist zentral
INFORM,gibt einen Fitneßraum zum Austoben
ACCEPT,ja wunderbar
INFORM,Einzelzimmer hundert fünfundachtzig
INFORM,ist zentral
INFORM,gibt einen Fitneßraum zum Austoben
ACCEPT,ja wunderbar
INFORM,Einzelzimmer hundert fünfundachtzig
INFORM,das glaube ich das kann man noch akzeptieren
INFORM,gibt einen Fitneßraum zum Austoben
ACCEPT,ja wunderbar
INFORM,Einzelzimmer hundert fünfundachtzig
INFORM,das glaube ich das kann man noch akzeptieren
ACCEPT,ja
ACCEPT,ja wunderbar
INFORM,Einzelzimmer hundert fünfundachtzig
INFORM,das glaube ich das kann man noch akzeptieren
ACCEPT,ja
INFORM,ich glaube das ist einfach Standardpreis bei denen
INFORM,Einzelzimmer hundert fünfundachtzig
INFORM,das glaube ich das kann man noch akzeptieren
ACCEPT,ja
INFORM,ich glaube das ist einfach Standardpreis bei denen
COMMIT,ja dann werde ich das Hotel Marriott bestellen
INFORM,das glaube ich das kann man noch akzeptieren
ACCEPT,ja
INFORM,ich glaube das ist einfach Standardpreis bei denen
COMMIT,ja dann werde ich das Hotel Marriott bestellen
ACCEPT,genau
ACCEPT,ja
INFORM,ich glaube das ist einfach Standardpreis bei denen
COMMIT,ja dann werde ich das Hotel Marriott bestellen
ACCEPT,genau
REQUEST,für Dienstag nacht Sie nehmen auch Einzelzimmer
INFORM,ich glaube das ist einfach Standardpreis bei denen
COMMIT,ja dann werde ich das Hotel Marriott bestellen
ACCEPT,genau
REQUEST,für Dienstag nacht Sie nehmen auch Einzelzimmer
ACCEPT,ja bitte bitte
COMMIT,ja dann werde ich das Hotel Marriott bestellen
ACCEPT,genau
REQUEST,für Dienstag nacht Sie nehmen auch Einzelzimmer
ACCEPT,ja bitte bitte
INIT,und zur Zugverbindung
ACCEPT,genau
REQUEST,für Dienstag nacht Sie nehmen auch Einzelzimmer
ACCEPT,ja bitte bitte
INIT,und zur Zugverbindung
COMMIT,also ich werde einen Platz gleich reservieren für Sie
REQUEST,für Dienstag nacht Sie nehmen auch Einzelzimmer
ACCEPT,ja bitte bitte
INIT,und zur Zugverbindung
COMMIT,also ich werde einen Platz gleich reservieren für Sie
REQUEST_COMMENT,ist das okay
ACCEPT,ja bitte bitte
INIT,und zur Zugverbindung
COMMIT,also ich werde einen Platz gleich reservieren für Sie
REQUEST_COMMENT,ist das okay
ACCEPT,mhm
INIT,und zur Zugverbindung
COMMIT,also ich werde einen Platz gleich reservieren für Sie
REQUEST_COMMENT,ist das okay
ACCEPT,mhm
CONFIRM,Dienstag acht Uhr
COMMIT,also ich werde einen Platz gleich reservieren für Sie
REQUEST_COMMENT,ist das okay
ACCEPT,mhm
CONFIRM,Dienstag acht Uhr
CONFIRM,dann daß wir uns am Dienstag um acht Uhr drei
REQUEST_COMMENT,ist das okay
ACCEPT,mhm
CONFIRM,Dienstag acht Uhr
CONFIRM,dann daß wir uns am Dienstag um acht Uhr drei
SUGGEST,na ja da würde ich sagen treffen wir uns zehn Minuten vorher am Hauptbahnhof
ACCEPT,mhm
CONFIRM,Dienstag acht Uhr
CONFIRM,dann daß wir uns am Dienstag um acht Uhr drei
SUGGEST,na ja da würde ich sagen treffen wir uns zehn Minuten vorher am Hauptbahnhof
CONFIRM,drei in der Früh
CONFIRM,Dienstag acht Uhr
CONFIRM,dann daß wir uns am Dienstag um acht Uhr drei
SUGGEST,na ja da würde ich sagen treffen wir uns zehn Minuten vorher am Hauptbahnhof
CONFIRM,drei in der Früh
ACCEPT,genau
CONFIRM,dann daß wir uns am Dienstag um acht Uhr drei
SUGGEST,na ja da würde ich sagen treffen wir uns zehn Minuten vorher am Hauptbahnhof
CONFIRM,drei in der Früh
ACCEPT,genau
CONFIRM,kurz vor acht am Hauptbahnhof
SUGGEST,na ja da würde ich sagen treffen wir uns zehn Minuten vorher am Hauptbahnhof
CONFIRM,drei in der Früh
ACCEPT,genau
CONFIRM,kurz vor acht am Hauptbahnhof
INIT,wollen wir abends <äh> s soll ich <äh> da noch irgendwas <äh> ausmachen
CONFIRM,drei in der Früh
ACCEPT,genau
CONFIRM,kurz vor acht am Hauptbahnhof
INIT,wollen wir abends <äh> s soll ich <äh> da noch irgendwas <äh> ausmachen
ACCEPT,ja
ACCEPT,genau
CONFIRM,kurz vor acht am Hauptbahnhof
INIT,wollen wir abends <äh> s soll ich <äh> da noch irgendwas <äh> ausmachen
ACCEPT,ja
REQUEST_SUGGEST,haben Sie einen Vorschlag
CONFIRM,kurz vor acht am Hauptbahnhof
INIT,wollen wir abends <äh> s soll ich <äh> da noch irgendwas <äh> ausmachen
ACCEPT,ja
REQUEST_SUGGEST,haben Sie einen Vorschlag
SUGGEST,man kann zum zum Steinhuder-Meer
INIT,wollen wir abends <äh> s soll ich <äh> da noch irgendwas <äh> ausmachen
ACCEPT,ja
REQUEST_SUGGEST,haben Sie einen Vorschlag
SUGGEST,man kann zum zum Steinhuder-Meer
SUGGEST,kann man bißchen <äh> <äh> bißchen Wasserskifahren wenn das Wetter schön ist
ACCEPT,ja
REQUEST_SUGGEST,haben Sie einen Vorschlag
SUGGEST,man kann zum zum Steinhuder-Meer
SUGGEST,kann man bißchen <äh> <äh> bißchen Wasserskifahren wenn das Wetter schön ist
ACCEPT,Steinhuder-Meer das ist toll
REQUEST_SUGGEST,haben Sie einen Vorschlag
SUGGEST,man kann zum zum Steinhuder-Meer
SUGGEST,kann man bißchen <äh> <äh> bißchen Wasserskifahren wenn das Wetter schön ist
ACCEPT,Steinhuder-Meer das ist toll
SUGGEST,wir können ja wir können auch nur Abendessen gehen oder oder auf die CeBit
SUGGEST,man kann zum zum Steinhuder-Meer
SUGGEST,kann man bißchen <äh> <äh> bißchen Wasserskifahren wenn das Wetter schön ist
ACCEPT,Steinhuder-Meer das ist toll
SUGGEST,wir können ja wir können auch nur Abendessen gehen oder oder auf die CeBit
NOT_CLASSIFIABLE,es ist aber bißchen
SUGGEST,kann man bißchen <äh> <äh> bißchen Wasserskifahren wenn das Wetter schön ist
ACCEPT,Steinhuder-Meer das ist toll
SUGGEST,wir können ja wir können auch nur Abendessen gehen oder oder auf die CeBit
NOT_CLASSIFIABLE,es ist aber bißchen
BACKCHANNEL,mm
ACCEPT,Steinhuder-Meer das ist toll
SUGGEST,wir können ja wir können auch nur Abendessen gehen oder oder auf die CeBit
NOT_CLASSIFIABLE,es ist aber bißchen
BACKCHANNEL,mm
SUGGEST,wenn wir schon den ganzen Tag arbeiten müssen wir nicht noch auf die CeBit gehen denke ich
SUGGEST,wir können ja wir können auch nur Abendessen gehen oder oder auf die CeBit
NOT_CLASSIFIABLE,es ist aber bißchen
BACKCHANNEL,mm
SUGGEST,wenn wir schon den ganzen Tag arbeiten müssen wir nicht noch auf die CeBit gehen denke ich
NOT_CLASSIFIABLE,<ähm> vielleicht wäre das <hm> <hm> nein
NOT_CLASSIFIABLE,es ist aber bißchen
BACKCHANNEL,mm
SUGGEST,wenn wir schon den ganzen Tag arbeiten müssen wir nicht noch auf die CeBit gehen denke ich
NOT_CLASSIFIABLE,<ähm> vielleicht wäre das <hm> <hm> nein
SUGGEST,<häs> gehen wir Steinhuder-Meer
BACKCHANNEL,mm
SUGGEST,wenn wir schon den ganzen Tag arbeiten müssen wir nicht noch auf die CeBit gehen denke ich
NOT_CLASSIFIABLE,<ähm> vielleicht wäre das <hm> <hm> nein
SUGGEST,<häs> gehen wir Steinhuder-Meer
INFORM,ich glaube das ist ganz toll
SUGGEST,wenn wir schon den ganzen Tag arbeiten müssen wir nicht noch auf die CeBit gehen denke ich
NOT_CLASSIFIABLE,<ähm> vielleicht wäre das <hm> <hm> nein
SUGGEST,<häs> gehen wir Steinhuder-Meer
INFORM,ich glaube das ist ganz toll
BACKCHANNEL,mhm
NOT_CLASSIFIABLE,<ähm> vielleicht wäre das <hm> <hm> nein
SUGGEST,<häs> gehen wir Steinhuder-Meer
INFORM,ich glaube das ist ganz toll
BACKCHANNEL,mhm
SUGGEST,oder wir gehen in den Garten raus nach Herrenhausen
SUGGEST,<häs> gehen wir Steinhuder-Meer
INFORM,ich glaube das ist ganz toll
BACKCHANNEL,mhm
SUGGEST,oder wir gehen in den Garten raus nach Herrenhausen
GIVE_REASON,da haben sie einen schönen Barockgarten alten
INFORM,ich glaube das ist ganz toll
BACKCHANNEL,mhm
SUGGEST,oder wir gehen in den Garten raus nach Herrenhausen
GIVE_REASON,da haben sie einen schönen Barockgarten alten
ACCEPT,ja
BACKCHANNEL,mhm
SUGGEST,oder wir gehen in den Garten raus nach Herrenhausen
GIVE_REASON,da haben sie einen schönen Barockgarten alten
ACCEPT,ja
DEFER,legen wir uns mal noch nicht fest
SUGGEST,oder wir gehen in den Garten raus nach Herrenhausen
GIVE_REASON,da haben sie einen schönen Barockgarten alten
ACCEPT,ja
DEFER,legen wir uns mal noch nicht fest
SUGGEST,aber vereinbaren wir es auf jeden Fall daß wir was Gemütlicheres machen wollen
GIVE_REASON,da haben sie einen schönen Barockgarten alten
ACCEPT,ja
DEFER,legen wir uns mal noch nicht fest
SUGGEST,aber vereinbaren wir es auf jeden Fall daß wir was Gemütlicheres machen wollen
DEFER,das sehen wir <%> dann
ACCEPT,ja
DEFER,legen wir uns mal noch nicht fest
SUGGEST,aber vereinbaren wir es auf jeden Fall daß wir was Gemütlicheres machen wollen
DEFER,das sehen wir <%> dann
BACKCHANNEL,mhm
DEFER,legen wir uns mal noch nicht fest
SUGGEST,aber vereinbaren wir es auf jeden Fall daß wir was Gemütlicheres machen wollen
DEFER,das sehen wir <%> dann
BACKCHANNEL,mhm
ACCEPT,genau
SUGGEST,aber vereinbaren wir es auf jeden Fall daß wir was Gemütlicheres machen wollen
DEFER,das sehen wir <%> dann
BACKCHANNEL,mhm
ACCEPT,genau
CONFIRM,gut Herr Münster dann sehen wir uns <äh> Dienstag den zweiundzwanzigsten Juli
DEFER,das sehen wir <%> dann
BACKCHANNEL,mhm
ACCEPT,genau
CONFIRM,gut Herr Münster dann sehen wir uns <äh> Dienstag den zweiundzwanzigsten Juli
CONFIRM,ja gut am Hauptbahnhof
BACKCHANNEL,mhm
ACCEPT,genau
CONFIRM,gut Herr Münster dann sehen wir uns <äh> Dienstag den zweiundzwanzigsten Juli
CONFIRM,ja gut am Hauptbahnhof
CONFIRM,genau kurz vor acht
ACCEPT,genau
CONFIRM,gut Herr Münster dann sehen wir uns <äh> Dienstag den zweiundzwanzigsten Juli
CONFIRM,ja gut am Hauptbahnhof
CONFIRM,genau kurz vor acht
BACKCHANNEL,mhm
CONFIRM,gut Herr Münster dann sehen wir uns <äh> Dienstag den zweiundzwanzigsten Juli
CONFIRM,ja gut am Hauptbahnhof
CONFIRM,genau kurz vor acht
BACKCHANNEL,mhm
ACCEPT,okay
CONFIRM,ja gut am Hauptbahnhof
CONFIRM,genau kurz vor acht
BACKCHANNEL,mhm
ACCEPT,okay
ACCEPT,gut
CONFIRM,genau kurz vor acht
BACKCHANNEL,mhm
ACCEPT,okay
ACCEPT,gut
THANK,danke
BACKCHANNEL,mhm
ACCEPT,okay
ACCEPT,gut
THANK,danke
BYE,auf Wiedersehen
ACCEPT,okay
ACCEPT,gut
THANK,danke
BYE,auf Wiedersehen
BACKCHANNEL,mhm
ACCEPT,gut
THANK,danke
BYE,auf Wiedersehen
BACKCHANNEL,mhm
BYE,Wiederschauen
REQUEST,darf ich Sie mal eben sprechen
FEEDBACK_POSITIVE,ja gerne
GREET,guten Tag Frau Lotz
INIT,und zwar geht es mir um diese Dienstreise die wir noch <äh> erledigen müßten
INFORM,ja nach Hannover
FEEDBACK_POSITIVE,ja gerne
GREET,guten Tag Frau Lotz
INIT,und zwar geht es mir um diese Dienstreise die wir noch <äh> erledigen müßten
INFORM,ja nach Hannover
FEEDBACK_POSITIVE,genau
GREET,guten Tag Frau Lotz
INIT,und zwar geht es mir um diese Dienstreise die wir noch <äh> erledigen müßten
INFORM,ja nach Hannover
FEEDBACK_POSITIVE,genau
REQUEST,<ähm> haben Sie da jetzt Vorlieben in Sachen Termin
INIT,und zwar geht es mir um diese Dienstreise die wir noch <äh> erledigen müßten
INFORM,ja nach Hannover
FEEDBACK_POSITIVE,genau
REQUEST,<ähm> haben Sie da jetzt Vorlieben in Sachen Termin
SUGGEST,wann wäre es Ihnen recht in den nächsten drei Monaten
INFORM,ja nach Hannover
FEEDBACK_POSITIVE,genau
REQUEST,<ähm> haben Sie da jetzt Vorlieben in Sachen Termin
SUGGEST,wann wäre es Ihnen recht in den nächsten drei Monaten
BACKCHANNEL,<hm> mhm
FEEDBACK_POSITIVE,genau
REQUEST,<ähm> haben Sie da jetzt Vorlieben in Sachen Termin
SUGGEST,wann wäre es Ihnen recht in den nächsten drei Monaten
BACKCHANNEL,<hm> mhm
FEEDBACK_POSITIVE,es ist ganz gut in der ja
REQUEST,<ähm> haben Sie da jetzt Vorlieben in Sachen Termin
SUGGEST,wann wäre es Ihnen recht in den nächsten drei Monaten
BACKCHANNEL,<hm> mhm
FEEDBACK_POSITIVE,es ist ganz gut in der ja
SUGGEST,dreiundvierzigsten Kalenderwoche im Oktober geht es knapp
SUGGEST,wann wäre es Ihnen recht in den nächsten drei Monaten
BACKCHANNEL,<hm> mhm
FEEDBACK_POSITIVE,es ist ganz gut in der ja
SUGGEST,dreiundvierzigsten Kalenderwoche im Oktober geht es knapp
SUGGEST,und dann in der vierundvierzigsten Woche da
BACKCHANNEL,<hm> mhm
FEEDBACK_POSITIVE,es ist ganz gut in der ja
SUGGEST,dreiundvierzigsten Kalenderwoche im Oktober geht es knapp
SUGGEST,und dann in der vierundvierzigsten Woche da
EXPLAINED_REJECT,in der vierundvierzigsten Woche bin ich in Urlaub
FEEDBACK_POSITIVE,es ist ganz gut in der ja
SUGGEST,dreiundvierzigsten Kalenderwoche im Oktober geht es knapp
SUGGEST,und dann in der vierundvierzigsten Woche da
EXPLAINED_REJECT,in der vierundvierzigsten Woche bin ich in Urlaub
FEEDBACK_NEGATIVE,das geht gar nicht
SUGGEST,dreiundvierzigsten Kalenderwoche im Oktober geht es knapp
SUGGEST,und dann in der vierundvierzigsten Woche da
EXPLAINED_REJECT,in der vierundvierzigsten Woche bin ich in Urlaub
FEEDBACK_NEGATIVE,das geht gar nicht
ACCEPT,aber davor die Woche wäre schon ganz gut
SUGGEST,und dann in der vierundvierzigsten Woche da
EXPLAINED_REJECT,in der vierundvierzigsten Woche bin ich in Urlaub
FEEDBACK_NEGATIVE,das geht gar nicht
ACCEPT,aber davor die Woche wäre schon ganz gut
BACKCHANNEL,mhm
EXPLAINED_REJECT,in der vierundvierzigsten Woche bin ich in Urlaub
FEEDBACK_NEGATIVE,das geht gar nicht
ACCEPT,aber davor die Woche wäre schon ganz gut
BACKCHANNEL,mhm
SUGGEST,im November geht es auch einigermaßen
FEEDBACK_NEGATIVE,das geht gar nicht
ACCEPT,aber davor die Woche wäre schon ganz gut
BACKCHANNEL,mhm
SUGGEST,im November geht es auch einigermaßen
SUGGEST,in den in der zweiten und dritten Woche oder eben Dezember die ersten beiden Wochen
ACCEPT,aber davor die Woche wäre schon ganz gut
BACKCHANNEL,mhm
SUGGEST,im November geht es auch einigermaßen
SUGGEST,in den in der zweiten und dritten Woche oder eben Dezember die ersten beiden Wochen
NOT_CLASSIFIABLE,wann wär
BACKCHANNEL,mhm
SUGGEST,im November geht es auch einigermaßen
SUGGEST,in den in der zweiten und dritten Woche oder eben Dezember die ersten beiden Wochen
NOT_CLASSIFIABLE,wann wär
ACCEPT,das würde mir auch gut passen
SUGGEST,im November geht es auch einigermaßen
SUGGEST,in den in der zweiten und dritten Woche oder eben Dezember die ersten beiden Wochen
NOT_CLASSIFIABLE,wann wär
ACCEPT,das würde mir auch gut passen
REQUEST_CLARIFY,Anfang Dezember
SUGGEST,in den in der zweiten und dritten Woche oder eben Dezember die ersten beiden Wochen
NOT_CLASSIFIABLE,wann wär
ACCEPT,das würde mir auch gut passen
REQUEST_CLARIFY,Anfang Dezember
CLARIFY,Anfang Dezember
NOT_CLASSIFIABLE,wann wär
ACCEPT,das würde mir auch gut passen
REQUEST_CLARIFY,Anfang Dezember
CLARIFY,Anfang Dezember
FEEDBACK_POSITIVE,das wäre vielleicht ganz gut
ACCEPT,das würde mir auch gut passen
REQUEST_CLARIFY,Anfang Dezember
CLARIFY,Anfang Dezember
FEEDBACK_POSITIVE,das wäre vielleicht ganz gut
GIVE_REASON,dann ballen sich die Termine nicht so sehr
REQUEST_CLARIFY,Anfang Dezember
CLARIFY,Anfang Dezember
FEEDBACK_POSITIVE,das wäre vielleicht ganz gut
GIVE_REASON,dann ballen sich die Termine nicht so sehr
SUGGEST,ja das wäre dann die Woche vom dreißigsten November bis vierten Dezember
CLARIFY,Anfang Dezember
FEEDBACK_POSITIVE,das wäre vielleicht ganz gut
GIVE_REASON,dann ballen sich die Termine nicht so sehr
SUGGEST,ja das wäre dann die Woche vom dreißigsten November bis vierten Dezember
ACCEPT,gut
FEEDBACK_POSITIVE,das wäre vielleicht ganz gut
GIVE_REASON,dann ballen sich die Termine nicht so sehr
SUGGEST,ja das wäre dann die Woche vom dreißigsten November bis vierten Dezember
ACCEPT,gut
SUGGEST,beziehungsweise dritten Dezember
GIVE_REASON,dann ballen sich die Termine nicht so sehr
SUGGEST,ja das wäre dann die Woche vom dreißigsten November bis vierten Dezember
ACCEPT,gut
SUGGEST,beziehungsweise dritten Dezember
REQUEST_COMMENT,ja sollen wir das dann mal festhalten
SUGGEST,ja das wäre dann die Woche vom dreißigsten November bis vierten Dezember
ACCEPT,gut
SUGGEST,beziehungsweise dritten Dezember
REQUEST_COMMENT,ja sollen wir das dann mal festhalten
ACCEPT,ja
ACCEPT,gut
SUGGEST,beziehungsweise dritten Dezember
REQUEST_COMMENT,ja sollen wir das dann mal festhalten
ACCEPT,ja
SUGGEST,sollen wir die Hinreise a dann am ersten Dezember machen oder
SUGGEST,beziehungsweise dritten Dezember
REQUEST_COMMENT,ja sollen wir das dann mal festhalten
ACCEPT,ja
SUGGEST,sollen wir die Hinreise a dann am ersten Dezember machen oder
SUGGEST,ich würde sagen direkt den Montag
REQUEST_COMMENT,ja sollen wir das dann mal festhalten
ACCEPT,ja
SUGGEST,sollen wir die Hinreise a dann am ersten Dezember machen oder
SUGGEST,ich würde sagen direkt den Montag
REQUEST_COMMENT,ja
ACCEPT,ja
SUGGEST,sollen wir die Hinreise a dann am ersten Dezember machen oder
SUGGEST,ich würde sagen direkt den Montag
REQUEST_COMMENT,ja
FEEDBACK_POSITIVE,ja
SUGGEST,sollen wir die Hinreise a dann am ersten Dezember machen oder
SUGGEST,ich würde sagen direkt den Montag
REQUEST_COMMENT,ja
FEEDBACK_POSITIVE,ja
FEEDBACK_POSITIVE,ja den dreißigsten November ja
SUGGEST,ich würde sagen direkt den Montag
REQUEST_COMMENT,ja
FEEDBACK_POSITIVE,ja
FEEDBACK_POSITIVE,ja den dreißigsten November ja
CONFIRM,gut dann nehmen wir den Montag
REQUEST_COMMENT,ja
FEEDBACK_POSITIVE,ja
FEEDBACK_POSITIVE,ja den dreißigsten November ja
CONFIRM,gut dann nehmen wir den Montag
INIT,<ähm> wie sieht es aus mit der Hotelunterkunft
FEEDBACK_POSITIVE,ja
